iter	Logloss
0	0.6910795914
1	0.6890264272
2	0.6866447437
3	0.6845549546
4	0.6820921416
5	0.6801116474
6	0.67770221
7	0.6754584858
8	0.674045731
9	0.6719438949
10	0.6697476119
11	0.6681536948
12	0.6661610925
13	0.664037137
14	0.6622538856
15	0.6603326308
16	0.6586580824
17	0.6563428569
18	0.6540118364
19	0.6524259711
20	0.6501096145
21	0.6488986706
22	0.647097622
23	0.6450764402
24	0.6435897943
25	0.6414809349
26	0.6392932066
27	0.6376049025
28	0.6357040195
29	0.6342006789
30	0.632133726
31	0.6309949809
32	0.6297299534
33	0.627862682
34	0.6263342281
35	0.6245910587
36	0.6230630917
37	0.6215185044
38	0.6207517416
39	0.619072408
40	0.6172660599
41	0.6158776552
42	0.6141227787
43	0.6126650627
44	0.6107674313
45	0.6094480376
46	0.6080536084
47	0.6061876399
48	0.6049723485
49	0.6035552799
50	0.6019619661
51	0.6008141873
52	0.5996082825
53	0.5985886632
54	0.5968802225
55	0.5959110946
56	0.5943970137
57	0.5930338999
58	0.5913193697
59	0.5894772366
60	0.5877513689
61	0.5859864068
62	0.5848176537
63	0.5839412061
64	0.5823308713
65	0.5817159682
66	0.5804559026
67	0.5794459686
68	0.577707766
69	0.5764981734
70	0.5753290802
71	0.5737066807
72	0.5730613121
73	0.5718371383
74	0.570233749
75	0.5692541646
76	0.568020119
77	0.5664842726
78	0.5657303048
79	0.5645543772
80	0.5631697296
81	0.5620163041
82	0.5609933681
83	0.5599254958
84	0.5592530238
85	0.5580568901
86	0.5569631419
87	0.5558308747
88	0.5547587786
89	0.5535534603
90	0.5523868424
91	0.5510808325
92	0.5504433496
93	0.5494157268
94	0.5481695986
95	0.5473159996
96	0.5458247687
97	0.5449738736
98	0.5439631803
99	0.542833075
100	0.5420385343
101	0.5409360564
102	0.5397845117
103	0.5387161141
104	0.5376614079
105	0.5361639374
106	0.5351708247
107	0.5347125703
108	0.5341807153
109	0.5333264107
110	0.5323252806
111	0.5310718637
112	0.5299769641
113	0.5291314237
114	0.5277747023
115	0.5268884717
116	0.5259528702
117	0.5254474498
118	0.5244388965
119	0.5237125402
120	0.5226530931
121	0.5220761834
122	0.5214446275
123	0.5210644466
124	0.5203484452
125	0.5198820518
126	0.5189529831
127	0.5183558952
128	0.5175476447
129	0.516868443
130	0.5157223987
131	0.5149894894
132	0.5139782256
133	0.5134957857
134	0.5125770806
135	0.5118900636
136	0.5113812856
137	0.5106942974
138	0.5098245788
139	0.5091530145
140	0.5083267505
141	0.507474684
142	0.5064186578
143	0.5056808896
144	0.5049356247
145	0.5038726792
146	0.5032112662
147	0.5023521021
148	0.5018232518
149	0.5010167421
150	0.5002592279
151	0.4994252047
152	0.4988422468
153	0.4981703325
154	0.4975779511
155	0.4969504112
156	0.4961682822
157	0.4954533106
158	0.4947994231
159	0.4941909323
160	0.4932516364
161	0.4926484803
162	0.4920241832
163	0.4914026077
164	0.4910220047
165	0.4906023084
166	0.4897832305
167	0.4893651604
168	0.4885345022
169	0.4874981872
170	0.4867227994
171	0.4860106339
172	0.4855587174
173	0.4847765487
174	0.4841998876
175	0.4834989102
176	0.4830089904
177	0.4827936933
178	0.4820266549
179	0.4811634809
180	0.4808506875
181	0.4803391694
182	0.4796518108
183	0.4791782138
184	0.4783242209
185	0.477541171
186	0.4771724451
187	0.4768317165
188	0.4762907931
189	0.4757812792
190	0.4749387643
191	0.4746967636
192	0.473728075
193	0.4736343772
194	0.4728310151
195	0.47224871
196	0.4717894528
197	0.4710018883
198	0.4706344279
199	0.4699304293
200	0.4692309057
201	0.4684145272
202	0.46796953
203	0.4675035179
204	0.4669805379
205	0.4658156809
206	0.465063485
207	0.464542306
208	0.4641115517
209	0.4635548613
210	0.4625653559
211	0.4622516556
212	0.4617732329
213	0.4610851828
214	0.4605887354
215	0.4597993196
216	0.4592756448
217	0.4582117248
218	0.4579912678
219	0.4571017607
220	0.4569389318
221	0.4564963532
222	0.456102467
223	0.4557119329
224	0.4553841883
225	0.4546459908
226	0.4545135414
227	0.4541235367
228	0.4536109421
229	0.453165451
230	0.4524500298
231	0.4519771547
232	0.451556359
233	0.4509160436
234	0.45033096
235	0.4495662404
236	0.4491079119
237	0.4488422188
238	0.4480821739
239	0.4477494612
240	0.4473792625
241	0.446664495
242	0.4462043233
243	0.4458696302
244	0.4453667708
245	0.4450360149
246	0.4447066604
247	0.4442950085
248	0.4439602493
249	0.4438182777
250	0.443241506
251	0.4429703714
252	0.4425233511
253	0.4421143259
254	0.4417291424
255	0.4411565774
256	0.4404991547
257	0.4399740186
258	0.4397310647
259	0.4390509686
260	0.4383464115
261	0.4380609325
262	0.4375295311
263	0.4369514398
264	0.4362126271
265	0.4360162922
266	0.435305373
267	0.4348728339
268	0.434543279
269	0.4340597846
270	0.4339730895
271	0.4335482013
272	0.4328837766
273	0.4326813017
274	0.4324153553
275	0.4321256669
276	0.4318123757
277	0.4314807229
278	0.4312302703
279	0.4304965883
280	0.4301014779
281	0.4296832066
282	0.4294108346
283	0.4288174323
284	0.428608306
285	0.4282779013
286	0.4277195026
287	0.4273053086
288	0.426927914
289	0.4267731769
290	0.4265681683
291	0.4260001315
292	0.425483658
293	0.4253040938
294	0.4247354147
295	0.4243894615
296	0.4237778149
297	0.4232301401
298	0.4227758264
299	0.422408282
300	0.4219289708
301	0.4217255254
302	0.4211991255
303	0.4211285337
304	0.4206207197
305	0.4201482156
306	0.4197796531
307	0.4194587258
308	0.4189355891
309	0.4183432058
310	0.4177168604
311	0.4172854025
312	0.4166875417
313	0.4163638151
314	0.4163012224
315	0.4159846745
316	0.4157001391
317	0.4152716823
318	0.4145549377
319	0.4143107034
320	0.4139350199
